PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS
2012-07-01,120000.0,327.0,624.0,2602.0,8.0,44.0,0.2544196772
2012-07-01,135000.0,2043.0,2635.0,10426.0,5.1,71.0,0.2580088241
2012-07-01,152142.675728753,6087.976843749,9296.295884578,36599.213143877,6.054875242,75.498548333,0.2478995672
2012-07-01,150000.0,699.0,971.0,3832.0,5.5,77.0,0.267223382
2012-07-01,195000.0,4304.0,5687.0,22850.0,5.3,59.0,0.2811378556
2012-07-01,143156.379905207,581.079424616,856.489815425,3563.560752335,6.099665193,96.439087716,0.2422483581
2012-08-01,170000.0,8021.0,9626.0,38419.0,4.8,65.0,0.2835055571
2012-08-01,140000.0,2316.0,2575.0,9941.0,4.3,71.0,0.2597324213
2012-08-01,151929.963316332,558.489566827,835.268640679,3414.373019581,5.95579725,84.996042733,0.234011797
2012-08-01,155052.020259864,6381.817856595,9295.501035812,35907.215569067,5.703033785,73.922722487,0.2459088425
2012-08-01,170128.981266998,3599.658592182,5329.243772691,20605.56678835,5.903300567,70.759612437,0.2536805291
2012-08-01,120000.0,404.0,629.0,2551.0,6.3,67.0,0.268130145
2012-08-01,124198.580379986,1852.812147994,2479.55594004,9454.911081716,5.329064472,81.657429946,0.2329907804
2012-08-01,185600.0,4578.0,5509.0,22287.0,4.9,60.0,0.2963162382
2012-08-01,157750.0,723.0,913.0,3640.0,5.0,74.0,0.2813186813
2012-09-01,159900.0,6536.0,8737.0,37539.0,5.7,63.0,0.2541356989
2012-09-01,124000.0,352.0,574.0,2511.0,7.1,57.0,0.2465153325
2012-09-01,178000.0,3656.0,4901.0,21745.0,5.9,62.0,0.2610255231
2012-09-01,158353.904690373,6767.070345176,9479.582160438,35044.174532397,5.137109946,70.103639679,0.2394131952
2012-09-01,129702.963325779,1907.396069485,2524.816266492,9139.533717482,4.824296922,72.001325362,0.2290364948
2012-09-01,130000.0,1865.0,2423.0,9737.0,5.2,64.0,0.2420663449
2012-09-01,148768.486379094,669.108889149,882.250526221,3310.303273374,4.842326364,82.156639535,0.2223593132
2012-09-01,150000.0,663.0,839.0,3546.0,5.3,75.0,0.2518330513
2012-09-01,176058.712061069,3798.872529488,5456.273994173,20235.738261053,5.320288404,68.990992944,0.2454603686
2012-10-01,140000.0,705.0,780.0,3330.0,4.7,76.0,0.2708708709
2012-10-01,154000.0,7208.0,8666.0,35513.0,4.9,66.0,0.2681553234
2012-10-01,161568.935559325,7020.360591711,9603.191764143,34186.632235675,4.896149002,68.44958888,0.2379726221
2012-10-01,136303.085936493,2038.04182558,2614.560260469,8989.742208011,4.497550044,72.491404533,0.2188138901
2012-10-01,125000.0,2058.0,2322.0,9290.0,4.5,68.0,0.2498385361
2012-10-01,174466.036761582,3925.825343354,5529.456651221,19730.61763785,5.202873538,67.269423412,0.2468210069
2012-10-01,141424.715498683,675.32397177,894.764749614,3215.384910399,4.792687086,78.217050414,0.2251087824
2012-10-01,125000.0,391.0,597.0,2364.0,6.0,59.0,0.2686125212
2012-10-01,167000.0,4054.0,4967.0,20529.0,5.1,65.0,0.2760972283
2012-11-01,140000.0,666.0,621.0,3020.0,4.5,71.0,0.2109271523
2012-11-01,155000.0,6629.0,6573.0,32660.0,4.9,68.0,0.2153398653
2012-11-01,115000.0,1800.0,1770.0,8516.0,4.7,71.0,0.2145373415
2012-11-01,133985.061567172,2169.779263777,2690.855981603,8898.20027831,4.346704112,70.050148897,0.2251978315
2012-11-01,164998.367920418,7424.940539655,9710.416650867,34002.739310888,4.710146854,65.459747616,0.2348308898
2012-11-01,172000.0,3792.0,3741.0,18896.0,5.0,66.0,0.2165008467
2012-11-01,146733.547140153,713.275577261,948.5326238,3165.67184867,4.474770258,67.849953298,0.2224989819
2012-11-01,182353.612719776,4183.025792264,5550.131664306,19734.517215228,4.985411587,63.5312273,0.2428831019
2012-11-01,145000.0,371.0,441.0,2228.0,6.0,67.0,0.2172351885
2012-12-01,162316.994972692,7614.118318463,9991.190067459,34563.742905708,4.759903249,62.948231663,0.2310141142
2012-12-01,167000.0,3650.0,3026.0,17297.0,4.7,69.0,0.1616465283
2012-12-01,120000.0,365.0,353.0,1995.0,5.5,68.0,0.1844611529
2012-12-01,151000.0,6430.0,5215.0,29722.0,4.6,69.0,0.1597806339
2012-12-01,142975.331047867,723.181731777,973.362586842,3176.41031445,4.688409529,65.168741523,0.2300843801
2012-12-01,180092.284709466,4291.390043796,5756.793057662,20134.275088471,5.060362669,63.521846003,0.238412141
2012-12-01,120550.0,1820.0,1381.0,7695.0,4.2,67.0,0.1495776478
2012-12-01,137000.0,595.0,455.0,2735.0,4.6,77.0,0.160511883
2012-12-01,132540.527624575,2180.075094829,2950.070948466,9066.782054244,4.223090593,62.558856508,0.2191402938
2013-01-01,161820.886827032,8148.988222953,10020.231414401,33958.510134155,4.333028309,61.399283931,0.2417647448
2013-01-01,141000.0,5455.0,9038.0,29731.0,5.5,75.0,0.2302647069
2013-01-01,137846.067366532,771.629213182,1063.677863909,3110.883844434,4.22536207,58.87688887,0.2628793744
2013-01-01,128000.0,497.0,894.0,2757.0,5.5,75.0,0.2412042075
2013-01-01,131869.400265406,2312.343582966,2821.891633155,8742.75586274,3.905278717,61.284808373,0.233663324
2013-01-01,118000.0,301.0,549.0,1988.0,6.6,51.0,0.2303822938
2013-01-01,110000.0,1524.0,2474.0,7704.0,5.1,78.0,0.2154724818
2013-01-01,179149.148550832,4673.158207134,5828.077790087,19870.939143527,4.448917193,61.052346036,0.2486080402
2013-01-01,156000.0,3133.0,5121.0,17282.0,5.5,74.0,0.2353315588
2013-02-01,153000.0,2937.0,5447.0,17337.0,5.9,75.0,0.1985349253
2013-02-01,104750.0,1404.0,2722.0,7832.0,5.6,71.0,0.1837334014
2013-02-01,101500.0,294.0,551.0,1961.0,6.7,71.0,0.19581846
2013-02-01,178950.980621605,4550.751929372,5691.611078517,19029.740947404,4.393244174,55.27648207,0.2393779082
2013-02-01,132036.226422961,2144.137325412,2674.293323878,8243.75772631,4.056332228,54.387409997,0.2267790779
2013-02-01,146364.539437163,788.215924873,959.225866256,2944.054461911,4.130448529,57.372657436,0.2406843386
2013-02-01,138000.0,515.0,895.0,2704.0,5.3,76.0,0.1908284024
2013-02-01,139000.0,5150.0,9615.0,29834.0,5.8,74.0,0.1937386874
2013-02-01,163181.470783065,7830.4766714,9832.515451694,32463.211247668,4.468569672,55.981061639,0.2335408435
2013-03-01,155000.0,6877.0,10864.0,29598.0,4.3,67.0,0.2021420366
2013-03-01,163564.738018011,7755.132837137,9668.542866394,30731.332920313,4.153244937,51.763970971,0.2185865344
2013-03-01,136300.0,700.0,1037.0,2686.0,3.8,72.0,0.2006701415
2013-03-01,178922.021868636,4458.742067504,5603.059674659,18105.187015237,4.243503157,47.281140145,0.223569412
2013-03-01,125862.895849456,2132.04226867,2540.635546269,7759.182192685,3.745344702,54.624276593,0.2124377945
2013-03-01,140613.831051633,764.223897861,888.969075594,2791.128892203,3.798967443,61.530588889,0.2259601721
2013-03-01,124900.0,1913.0,2985.0,7734.0,4.0,67.0,0.1967933799
2013-03-01,127500.0,383.0,594.0,1929.0,5.0,62.0,0.1912908243
2013-03-01,170000.0,3881.0,6248.0,17249.0,4.4,66.0,0.2061568787
2013-04-01,173000.0,7931.0,12783.0,30195.0,3.8,50.0,0.2232488823
2013-04-01,187000.0,4476.0,7421.0,17778.0,4.0,49.0,0.2296096299
2013-04-01,125000.0,408.0,676.0,1943.0,4.8,56.0,0.2156459084
2013-04-01,148000.0,2325.0,3445.0,7752.0,3.3,50.0,0.2091073271
2013-04-01,136414.082294605,2116.315914088,2644.474030582,7490.45282888,3.887909805,54.866316849,0.2045963456
2013-04-01,168244.49652303,7377.544964622,9907.44866694,29621.680403592,4.245313861,51.909518285,0.2176057341
2013-04-01,145331.217393049,703.022999109,932.984142257,2679.460433496,4.00796678,57.591812923,0.2339827359
2013-04-01,183896.14745083,4253.716634058,5710.068558929,17584.623475295,4.250232694,49.626040628,0.2241287687
2013-04-01,149950.0,722.0,1241.0,2722.0,3.8,53.0,0.2296105805
2013-05-01,144300.0,401.0,639.0,1984.0,4.9,49.0,0.2026209677
2013-05-01,160750.0,2884.0,3328.0,7723.0,2.7,45.0,0.2118347792
2013-05-01,200000.0,5270.0,7527.0,18382.0,3.5,43.0,0.2417038407
2013-05-01,183000.0,9482.0,12670.0,30832.0,3.3,44.0,0.2290477426
2013-05-01,139033.746713269,2251.361855479,2686.998076672,7309.099573775,3.480993083,53.732230449,0.200451786
2013-05-01,185174.491527211,4336.298591137,5802.06905935,17398.796408233,4.13783684,53.654201129,0.2196705516
2013-05-01,155000.0,927.0,1176.0,2743.0,3.0,42.0,0.2132701422
2013-05-01,169447.139559046,7720.703953074,10028.582852422,29282.080900869,4.047284845,53.896406236,0.2110316779
2013-05-01,150860.953501189,762.603045918,917.240050075,2598.161214546,3.600543682,52.752472839,0.2048066289
2013-06-01,195128.306305305,4387.504736163,5934.116591332,17317.230933123,3.910924355,52.340616946,0.2175835674
2013-06-01,158238.080804207,796.375902057,917.544858287,2478.040238079,3.282348917,51.156270854,0.1950073837
