PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,MONTH,YEAR,MEDIAN_SALE_PRICE_LAG_1,MEDIAN_SALE_PRICE_LAG_3,HOMES_SOLD_LAG_1,HOMES_SOLD_LAG_3,NEW_LISTINGS_LAG_1,NEW_LISTINGS_LAG_3,INVENTORY_LAG_1,INVENTORY_LAG_3,MONTHS_OF_SUPPLY_LAG_1,MONTHS_OF_SUPPLY_LAG_3,MEDIAN_DOM_LAG_1,MEDIAN_DOM_LAG_3,PRICE_DROPS_LAG_1,PRICE_DROPS_LAG_3,MEDIAN_SALE_PRICE_ROLL3,MEDIAN_SALE_PRICE_ROLL6,HOMES_SOLD_ROLL3,HOMES_SOLD_ROLL6,NEW_LISTINGS_ROLL3,NEW_LISTINGS_ROLL6,INVENTORY_ROLL3,INVENTORY_ROLL6,MONTHS_OF_SUPPLY_ROLL3,MONTHS_OF_SUPPLY_ROLL6,MEDIAN_DOM_ROLL3,MEDIAN_DOM_ROLL6,PRICE_DROPS_ROLL3,PRICE_DROPS_ROLL6,PRICE_DROPS_YOY,RISK_SCORE,RISK_LABEL
2013-12-01,175000.0,7122.0,5625.0,26196.0,3.7,53.0,0.175790197,12,2013,170000.0,185000.0,6639.0,8300.0,6782.0,10057.0,28586.0,32434.0,4.3,3.9,51.0,41.0,0.2069894354,0.2409816859,176666.66666666666,189583.33333333334,7678.333333333333,8783.333333333334,8718.0,10206.333333333334,31127.0,31430.833333333332,4.066666666666666,3.6333333333333333,45.333333333333336,42.166666666666664,0.2333651973666667,0.23686867206666665,-3.8777909925626686,-0.2290508599148342,0
2014-01-01,164000.0,5073.0,7541.0,25917.0,5.1,60.0,0.2164216537,1,2014,175000.0,175000.0,7122.0,8096.0,5625.0,9315.0,26196.0,32361.0,3.7,4.0,53.0,44.0,0.175790197,0.2521244708,173333.33333333334,184250.0,7285.666666666667,8375.833333333334,7240.666666666667,9133.166666666666,29047.666666666668,30555.666666666668,4.0,3.6999999999999997,49.333333333333336,44.333333333333336,0.21163470106666668,0.22944917431666667,10.019714347872544,0.5820606996940273,0
2014-02-01,158000.0,4957.0,9139.0,26904.0,5.4,67.0,0.19142135,2,2014,164000.0,170000.0,5073.0,6639.0,7541.0,6782.0,25917.0,28586.0,5.1,4.3,60.0,51.0,0.2164216537,0.2069894354,169666.66666666666,177833.33333333334,6278.0,7532.333333333333,6649.333333333333,8422.5,26899.666666666668,29560.166666666668,4.366666666666666,4.033333333333333,54.666666666666664,48.0,0.19973376203333335,0.22413239025,-6.011799804827156,0.6498242772472683,0
2014-03-01,176000.0,6226.0,12024.0,28427.0,4.6,62.0,0.2270024976,3,2014,158000.0,175000.0,4957.0,7122.0,9139.0,5625.0,26904.0,26196.0,5.4,3.7,67.0,53.0,0.19142135,0.175790197,165666.66666666666,171166.66666666666,5717.333333333333,6697.833333333333,7435.0,8076.5,26339.0,28733.0,4.733333333333333,4.3999999999999995,60.0,52.666666666666664,0.19454440023333333,0.2139547988,-1.1961149479739919,0.5245192699200448,1
2014-04-01,187500.0,7364.0,14049.0,30367.0,4.1,45.0,0.2602496131,4,2014,176000.0,164000.0,6226.0,5073.0,12024.0,7541.0,28427.0,25917.0,4.6,5.1,62.0,60.0,0.2270024976,0.2164216537,166000.0,169666.66666666666,5418.666666666667,6352.166666666667,9568.0,8404.333333333334,27082.666666666668,28065.166666666668,5.033333333333333,4.516666666666667,63.0,56.166666666666664,0.21161516709999997,0.21162493408333335,12.298511194479577,0.265528621866803,1
2014-05-01,210000.0,8474.0,14008.0,31768.0,3.7,37.0,0.2840594309,5,2014,187500.0,158000.0,7364.0,4957.0,14049.0,9139.0,30367.0,26904.0,4.1,5.4,45.0,67.0,0.2602496131,0.19142135,173833.33333333334,171750.0,6182.333333333333,6230.166666666667,11737.333333333334,9193.333333333334,28566.0,27732.833333333332,4.7,4.533333333333333,58.0,56.333333333333336,0.2262244869,0.21297912446666667,16.573758586741192,0.14127993237512973,1
2014-06-01,220000.0,9675.0,13386.0,34619.0,3.6,33.0,0.2897541812,6,2014,210000.0,176000.0,8474.0,6226.0,14008.0,12024.0,31768.0,28427.0,3.7,4.6,37.0,62.0,0.2840594309,0.2270024976,191166.66666666666,178416.66666666666,7354.666666666667,6536.0,13360.333333333334,10397.666666666666,30187.333333333332,28263.166666666668,4.133333333333333,4.433333333333334,48.0,54.0,0.2571038472,0.22582412371666669,24.017564056970553,0.07300612163351067,1
2014-07-01,220000.0,9613.0,12452.0,36897.0,3.8,34.0,0.304008456,7,2014,220000.0,187500.0,9675.0,7364.0,13386.0,14049.0,34619.0,30367.0,3.6,4.1,33.0,45.0,0.2897541812,0.2602496131,205833.33333333334,185916.66666666666,8504.333333333334,6961.5,13814.333333333334,11691.166666666666,32251.333333333332,29667.0,3.8000000000000003,4.416666666666667,38.333333333333336,50.666666666666664,0.2780210750666667,0.24481812108333334,31.52280220585726,0.2400403660836743,1
2014-08-01,216500.0,9009.0,10864.0,36748.0,4.1,40.0,0.2937574834,8,2014,220000.0,210000.0,9613.0,8474.0,12452.0,14008.0,36897.0,31768.0,3.8,3.7,34.0,37.0,0.304008456,0.2840594309,216666.66666666666,195250.0,9254.0,7718.166666666667,13282.0,12509.666666666666,34428.0,31497.0,3.6999999999999997,4.2,34.666666666666664,46.333333333333336,0.2926073560333334,0.25941592146666664,22.424923122538587,0.3792815453428924,1
2014-09-01,197500.0,7922.0,10685.0,36937.0,4.7,45.0,0.3056014295,9,2014,216500.0,220000.0,9009.0,9675.0,10864.0,13386.0,36748.0,34619.0,4.1,3.6,40.0,33.0,0.2937574834,0.2897541812,218833.33333333334,205000.0,9432.333333333334,8393.5,12234.0,12797.166666666666,36088.0,33137.666666666664,3.8333333333333335,3.983333333333333,35.666666666666664,41.833333333333336,0.29584004020000004,0.2764719437,16.345634134877194,0.7288300465433992,1
2014-10-01,187000.0,7913.0,9499.0,35785.0,4.5,50.0,0.3010199804,10,2014,197500.0,220000.0,7922.0,9613.0,10685.0,12452.0,36937.0,36897.0,4.7,3.8,45.0,34.0,0.3056014295,0.304008456,211333.33333333334,208583.33333333334,8848.0,8676.166666666666,11333.666666666666,12574.0,36860.666666666664,34556.0,4.2,4.0,39.666666666666664,39.0,0.30112245630000006,0.28957176568333337,26.815209362762626,0.7273161012595432,1
2014-11-01,183000.0,6114.0,6732.0,33079.0,5.4,55.0,0.2229813477,11,2014,187000.0,216500.0,7913.0,9009.0,9499.0,10864.0,35785.0,36748.0,4.5,4.1,50.0,40.0,0.3010199804,0.2937574834,200333.33333333334,208500.0,8281.333333333334,8767.666666666666,10349.333333333334,11815.666666666666,36490.0,35459.0,4.433333333333333,4.066666666666667,45.0,39.833333333333336,0.3001262977666667,0.2963668269,19.39340098359068,0.6270037727011104,1
2014-12-01,184000.0,7027.0,5357.0,29709.0,4.2,61.0,0.187855532,12,2014,183000.0,197500.0,6114.0,7922.0,6732.0,10685.0,33079.0,36937.0,5.4,4.7,55.0,45.0,0.2229813477,0.3056014295,189166.66666666666,204000.0,7316.333333333333,8374.333333333334,8972.0,10603.0,35267.0,35677.5,4.866666666666666,4.3500000000000005,50.0,42.833333333333336,0.27653425253333336,0.2861871463666667,7.725955804988871,0.14386367103856082,0
2015-01-01,178000.0,4919.0,8421.0,29708.0,6.0,70.0,0.2146559849,1,2015,184000.0,187000.0,7027.0,7913.0,5357.0,9499.0,29709.0,35785.0,4.2,4.5,61.0,50.0,0.187855532,0.3010199804,184666.66666666666,198000.0,7018.0,7933.0,7196.0,9264.833333333334,32857.666666666664,34859.166666666664,4.699999999999999,4.45,55.333333333333336,47.5,0.23728562003333334,0.26920403816666666,6.863485681172521,1.0326890447612784,0
2015-02-01,172000.0,5034.0,9760.0,30490.0,6.1,80.0,0.188291243,2,2015,178000.0,183000.0,4919.0,6114.0,8421.0,6732.0,29708.0,33079.0,6.0,5.4,70.0,55.0,0.2146559849,0.2229813477,181666.66666666666,191000.0,6020.0,7150.666666666667,6836.666666666667,8593.0,30832.0,33661.0,5.199999999999999,4.816666666666666,62.0,53.5,0.20849762153333337,0.25431195965000003,-0.815846644646534,1.0827655091957216,0
2015-03-01,200000.0,7196.0,13877.0,32580.0,4.5,72.0,0.2335481891,3,2015,172000.0,184000.0,5034.0,7027.0,9760.0,5357.0,30490.0,29709.0,6.1,4.2,80.0,61.0,0.188291243,0.187855532,178000.0,183583.33333333334,5660.0,6488.166666666667,7846.0,8409.0,29969.0,32618.0,5.433333333333334,5.1499999999999995,70.33333333333333,60.166666666666664,0.19693425330000003,0.2367342529166667,-1.6351922081836667,0.7109568411442412,1
